https://www.CryptoDataDownload.com
uniq,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1648094400000,2022-03-24 04:00:00,1INCH/USD,1.603,1.6379,1.5599,1.614,39467.969783,63701.303229762
1648036800000,2022-03-23 12:00:00,1INCH/USD,1.5998,1.6363,1.5798,1.6049,35905.569717,57624.8488388133
1648008000000,2022-03-23 04:00:00,1INCH/USD,1.5398,1.6363,1.5398,1.603,11348.261136,18191.262601008
1647950400000,2022-03-22 12:00:00,1INCH/USD,1.5848,1.609,1.5238,1.5998,26873.476942,42992.18841181161
1647921600000,2022-03-22 04:00:00,1INCH/USD,1.5679,1.5908,1.5238,1.5398,12999.450192,20016.5534056416
1647864000000,2022-03-21 12:00:00,1INCH/USD,1.5547,1.5908,1.5304,1.5848,11474.247987,18184.388209797602
1647835200000,2022-03-21 04:00:00,1INCH/USD,1.5246,1.5721,1.5246,1.5679,3331.117848,5222.8596738792
1647777600000,2022-03-20 12:00:00,1INCH/USD,1.5691,1.6012,1.5138,1.5547,9228.688239,14347.841605173298
1647748800000,2022-03-20 04:00:00,1INCH/USD,1.6043,1.6251,1.5138,1.5246,8565.614457,13059.1358011422
1647691200000,2022-03-19 12:00:00,1INCH/USD,1.6384,1.6743,1.5677,1.5691,24516.202899,38468.373968820895
1647662400000,2022-03-19 04:00:00,1INCH/USD,1.6567,1.6743,1.5961,1.6043,23928.368478,38388.2815492554
1647604800000,2022-03-18 12:00:00,1INCH/USD,1.5735,1.741,1.5475,1.6384,34187.37091,56012.588498944
1647576000000,2022-03-18 04:00:00,1INCH/USD,1.5119,1.741,1.505,1.6567,65043.714407,107757.9216580769
1647518400000,2022-03-17 12:00:00,1INCH/USD,1.5362,1.5902,1.4511,1.5735,44351.343757,69786.8394016395
1647489600000,2022-03-17 04:00:00,1INCH/USD,1.5008,1.5435,1.4511,1.5119,15615.551995,23609.1530612405
1647432000000,2022-03-16 12:00:00,1INCH/USD,1.5153,1.5362,1.4311,1.5362,46383.27584,71253.988345408
1647403200000,2022-03-16 04:00:00,1INCH/USD,1.3722,1.527,1.3722,1.5008,37644.887096,56497.4465536768
1647345600000,2022-03-15 12:00:00,1INCH/USD,1.3092,1.5406,1.3055,1.5153,25028.470531,37925.6413956243
1647316800000,2022-03-15 04:00:00,1INCH/USD,1.3078,1.426,1.2882,1.3722,17412.856274,23893.921379182804
1647259200000,2022-03-14 12:00:00,1INCH/USD,1.3313,1.3404,1.2882,1.3092,8683.629661,11368.6079521812
1647230400000,2022-03-14 04:00:00,1INCH/USD,1.3067,1.348,1.2949,1.3078,8860.398059,11587.6285815602
1647172800000,2022-03-13 12:00:00,1INCH/USD,1.3734,1.3826,1.2941,1.3313,13384.335711,17818.5661320543
1647144000000,2022-03-13 04:00:00,1INCH/USD,1.379,1.4154,1.2941,1.3067,23540.359323,30760.1875273641
1647086400000,2022-03-12 12:00:00,1INCH/USD,1.3384,1.4154,1.3261,1.3734,17939.679847,24638.356301869797
1647057600000,2022-03-12 04:00:00,1INCH/USD,1.345,1.3819,1.3261,1.379,8621.324273,11888.806172467
1647000000000,2022-03-11 12:00:00,1INCH/USD,1.352,1.3661,1.3074,1.3384,26363.456508,35284.8501903072
1646971200000,2022-03-11 04:00:00,1INCH/USD,1.3259,1.3645,1.3069,1.345,26356.739204,35449.814229380005
1646913600000,2022-03-10 12:00:00,1INCH/USD,1.3145,1.4533,1.2903,1.352,21938.811649,29661.273349448
1646884800000,2022-03-10 04:00:00,1INCH/USD,1.3452,1.4533,1.2897,1.3259,25579.650276,33916.0583009484
1646827200000,2022-03-09 12:00:00,1INCH/USD,1.3731,1.3985,1.2897,1.3145,23173.795583,30461.954293853498
1646798400000,2022-03-09 04:00:00,1INCH/USD,1.353,1.3892,1.3393,1.3452,6022.197946,8101.0606769592005
1646740800000,2022-03-08 12:00:00,1INCH/USD,1.3106,1.3785,1.2686,1.3731,20375.547105,27977.6637298755
1646712000000,2022-03-08 04:00:00,1INCH/USD,1.295,1.3617,1.2863,1.353,11194.680661,15146.402934333
1646654400000,2022-03-07 12:00:00,1INCH/USD,1.2862,1.3319,1.2313,1.3106,35267.281834,46221.299571640404
1646625600000,2022-03-07 04:00:00,1INCH/USD,1.2678,1.3319,1.2313,1.295,34563.934326,44760.29495217
1646568000000,2022-03-06 12:00:00,1INCH/USD,1.3191,1.3492,1.2593,1.2862,14793.280708,19027.117646629602
1646539200000,2022-03-06 04:00:00,1INCH/USD,1.3364,1.3492,1.2593,1.2678,15221.010479,19297.197085276202
1646481600000,2022-03-05 12:00:00,1INCH/USD,1.3508,1.3688,1.2924,1.3191,6675.962533,8806.2621772803
1646452800000,2022-03-05 04:00:00,1INCH/USD,1.3288,1.3688,1.3176,1.3364,7267.013158,9711.636384351199
1646395200000,2022-03-04 12:00:00,1INCH/USD,1.4336,1.4395,1.3005,1.3508,32283.025779,43607.9112222732
1646366400000,2022-03-04 04:00:00,1INCH/USD,1.3991,1.4395,1.3005,1.3288,35692.774538,47428.5588060944
1646308800000,2022-03-03 12:00:00,1INCH/USD,1.4736,1.4918,1.3831,1.4336,40288.225263,57757.1997370368
1646280000000,2022-03-03 04:00:00,1INCH/USD,1.4787,1.4918,1.3831,1.3991,37051.074823,51838.158784859304
1646222400000,2022-03-02 12:00:00,1INCH/USD,1.5237,1.5334,1.4601,1.4736,16632.607068,24509.809775404803
1646193600000,2022-03-02 04:00:00,1INCH/USD,1.5362,1.5362,1.4664,1.4787,11200.426112,16562.0700918144
1646136000000,2022-03-01 12:00:00,1INCH/USD,1.5004,1.5516,1.4757,1.5237,30857.244442,47017.183356275404
1646107200000,2022-03-01 04:00:00,1INCH/USD,1.484,1.5516,1.469,1.5362,24795.532402,38090.8968759524
1646049600000,2022-02-28 12:00:00,1INCH/USD,1.3787,1.5331,1.3596,1.5004,26366.815734,39560.7703272936
1646020800000,2022-02-28 04:00:00,1INCH/USD,1.3578,1.5331,1.3333,1.484,23362.402413,34669.805180892
1645963200000,2022-02-27 12:00:00,1INCH/USD,1.454,1.5336,1.3333,1.3787,14243.480951,19637.4871871437
1645934400000,2022-02-27 04:00:00,1INCH/USD,1.3907,1.5336,1.3431,1.3578,12903.214863,17519.985140981396
1645876800000,2022-02-26 12:00:00,1INCH/USD,1.428,1.4585,1.3704,1.454,18037.217012,26226.113535448
1645848000000,2022-02-26 04:00:00,1INCH/USD,1.458,1.4681,1.3704,1.3907,22017.572995,30619.838764146498
